ID,面积,周长,暴雨,比降,断层,岩性,最大高程,最小高程,相对高差,主沟长度,面积_T,周长_T,暴雨_T,比降_T,断层_T,岩性_T,最大高程_T,最小高程_T,相对高差_T,主沟长度_T,category
T016,8971075,17193,63,0.78,1,3973,1519,2454,6651,369,-0.3714123005119994,-0.28254309705192376,-1.9786550749452263,-0.49138148923624997,-0.3023715784073817,0.8012260201339632,1.538308363306691,0.3167494640371861,-0.2878573005463085,-0.039664604599456844,2
T017,44781855,33977,70,0.7,2,4563,1504,3059,15790,194,0.2454578924079085,0.6320405973489478,-0.3568066528589764,-2.00916215096984,0.45355736761107274,1.549324377277559,1.4824592359720012,1.1928280310230954,1.013819502713768,-0.9596521201600843,1
T018,4338174,10762,67,0.75,2,3680,1495,2185,3981,549,-0.45121783766167434,-0.632977304552639,-1.0518845480387977,-1.0605492373863463,0.45355736761107274,0.4297127681965503,1.4489497595711875,-0.07277968392844958,-0.6681480396539138,0.9066082685486171,2
T019,17914835,21693,69,0.78,3,4119,1518,2601,8037,324,-0.2173486650192971,-0.03733178718515051,-0.5884992845855835,-0.49138148923624997,1.209486313629527,0.9863486644440733,1.534585088151045,0.5296148348585559,-0.09044795058258533,-0.2762328228864753,2
T020,4315017,9014,64,0.82,1,3860,1510,2350,3285,715,-0.4516167360676137,-0.7282282755853323,-1.746962443218619,0.26750884163054295,-0.3023715784073817,0.6579461652912066,1.5047988869058773,0.1661508343404348,-0.7672800076010647,1.7792821404518409,2
T021,20230242,23232,71,0.78,3,4140,1500,2640,10874,243,-0.1774638715917843,0.04653048078928594,-0.1251140211323693,-0.49138148923624997,1.209486313629527,1.0129758941051166,1.4675661353494174,0.5860893209948376,0.31362876359279895,-0.7020556158031086,2
T022,7678181,13379,65,0.83,1,4274,1490,2784,4656,598,-0.3936834649827256,-0.4903733050145622,-1.515269811492012,0.4572314243472417,-0.3023715784073817,1.1828829786089163,1.4303333837929577,0.7946105005749549,-0.5720071224637888,1.1642047729055927,2
T023,27342245,25692,71,0.7,3,4120,1521,2599,11120,234,-0.05495375975794646,0.18057933018312197,-0.1251140211323693,-2.00916215096984,1.209486313629527,0.9876166277612658,1.545754913617983,0.5267187073643875,0.3486667867465334,-0.7493692594605122,1
T024,2013638,6830,70,0.77,1,2930,1480,1450,2773,523,-0.4912598856363141,-0.8472374979740063,-0.3568066528589764,-0.6811040719529488,-0.3023715784073817,-0.5212597196978511,1.393100632236498,-1.137106538035298,-0.8402046736771299,0.7699244090938953,0
T025,5230819,9579,71,0.8,1,3342,1483,1859,2876,646,-0.435841292013716,-0.6974406333465041,-0.1251140211323693,-0.11193632380285247,-0.3023715784073817,0.001141166985473397,1.404270457703436,-0.5448484654778817,-0.825534281868859,1.416544205745079,0
T026,21931830,22936,68,0.81,1,4640,1465,3175,9036,351,-0.14815261621476655,0.03040102574027152,-0.8201919163121907,0.07778625891384627,-0.3023715784073817,1.6469575527013842,1.3372515049018083,1.3608034256848567,0.051840606858799564,-0.13429189191426424,2
T027,22327918,21861,70,0.76,1,4375,1440,2935,8171,359,-0.14132967404558563,-0.028177231616790976,-0.3568066528589764,-0.8708266546696475,-0.3023715784073817,1.3109472736453625,1.244169626010659,1.0132681263846612,-0.07136219813299015,-0.09223531977434984,2
T028,13287825,17302,72,0.84,1,4033,1420,2613,6638,394,-0.297052724839897,-0.2766035342129286,0.10657861059423783,0.6469540070639405,-0.3023715784073817,0.8773038191655153,1.1697041228977396,0.5469915998235656,-0.2897089033958961,0.09176218333777564,2
T029,1778125,5729,76,0.85,1,2649,1440,1209,2210,547,-0.4953167911196671,-0.9072325317880767,1.0333491375006663,0.8366765897806392,-0.3023715784073817,-0.8775574118289535,1.244169626010659,-1.4860899010825777,-0.9203933201631156,0.8960941255136384,0
T030,5840758,11375,77,0.83,1,3380,1440,1940,4401,441,-0.42533459016026925,-0.5995740750085653,1.2650417692272733,0.4572314243472417,-0.3023715784073817,0.04932377303878974,1.244169626010659,-0.42755530196406577,-0.6083270245133916,0.3388445446597727,0
T031,1582703,5812,76,0.9,1,2740,1485,1255,2182,575,-0.49868309609377803,-0.9027097454060896,1.0333491375006663,1.785289503364133,-0.3023715784073817,-0.7621727499644328,1.4117170080147279,-1.4194789687167069,-0.9243813878391504,1.043292128003339,0
